,fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,QUALITY,type,rangeofquality
106,3.8,3.47,0.6,2.5,1.26,0.45,2.42,1.79,3.33,2.47,2.61,5,0,Poor
107,5.21,1.53,2.65,2.6,1.18,0.73,0.92,2.25,4.65,2.53,2.46,6,0,Average
108,3.31,3.2,1.14,1.7999999999999998,1.58,0.38,0.94,1.79,3.64,3.99,2.17,5,0,Poor
109,4.63,2.13,1.87,2.5,1.35,0.42,1.29,1.83,2.71,2.3,3.62,6,0,Average
110,3.72,3.07,1.69,2.0,1.13,0.35,0.78,2.06,5.19,2.19,2.9,6,0,Average
111,3.31,3.2,0.72,2.1,1.21,0.21,0.51,1.91,5.04,1.57,2.03,6,0,Average
112,4.13,3.13,0.24,2.5,1.83,0.45,1.15,1.75,3.8,2.13,4.2,6,0,Average
113,2.64,4.07,0.48,1.7999999999999998,1.46,0.73,1.91,1.69,4.81,1.8,1.74,6,0,Average
114,2.89,6.6,0.54,1.7000000000000002,2.81,0.31,1.91,1.75,4.5,1.97,1.45,5,0,Poor
115,4.13,3.13,0.24,2.5,1.83,0.45,1.15,1.75,3.8,2.13,4.2,6,0,Average
116,2.89,4.1,0.0,2.9,1.1,0.07,0.16,2.1,5.97,1.69,1.74,5,0,Poor
117,3.47,4.2,0.0,3.1,1.18,0.35,0.65,2.02,5.58,1.74,2.17,5,0,Poor
118,3.31,2.8,1.02,1.5,1.21,0.69,2.21,1.71,5.19,1.46,2.17,5,0,Poor
119,4.3,3.6,0.24,2.0,2.28,0.9,1.94,2.18,3.41,2.7,2.03,5,0,Poor
120,3.64,8.33,0.0,1.7000000000000002,1.2,0.07,0.14,1.79,6.28,1.52,4.2,5,0,Poor
121,3.55,8.33,0.0,1.7999999999999998,1.21,0.07,0.14,1.79,6.36,1.46,4.2,5,0,Poor
122,3.47,3.4,0.96,1.7999999999999998,0.93,0.07,0.23,1.75,5.43,3.93,3.62,7,0,Average
123,1.9,2.0,0.9,1.7999999999999998,1.05,0.17,0.3,1.62,5.43,1.97,2.03,5,0,Poor
124,3.47,4.43,3.37,2.1,1.81,1.01,2.95,1.87,4.03,2.47,2.03,5,0,Poor
125,1.49,2.8,0.54,2.6,0.66,0.56,2.14,1.27,7.05,2.3,7.25,5,0,Poor
126,1.49,2.8,0.54,2.6,0.66,0.56,2.14,1.27,7.05,2.3,7.25,5,0,Poor
127,2.31,2.8,0.06,1.4000000000000001,0.85,0.56,0.46,1.56,5.27,2.02,2.61,6,0,Average
128,3.39,6.4,0.3,2.5,1.25,0.42,0.53,1.69,3.88,1.85,2.75,6,0,Average
129,3.8,4.43,0.66,2.0,1.35,0.52,1.31,1.81,3.64,3.37,2.32,5,0,Poor
130,3.72,4.23,0.9,1.7999999999999998,1.33,0.31,1.06,1.87,3.95,3.09,2.17,5,0,Poor
131,2.81,2.23,2.17,2.1,1.2,0.42,0.9,1.95,5.89,2.36,1.74,5,0,Poor
132,3.31,3.2,1.14,2.3000000000000003,1.2,0.49,2.28,1.75,4.73,1.8,2.17,5,0,Poor
133,3.31,3.2,1.14,2.1,1.2,0.56,2.35,1.75,4.65,1.8,2.17,5,0,Poor
134,3.8,4.43,0.66,2.0,1.35,0.52,1.31,1.81,3.64,3.37,2.32,5,0,Poor
135,3.72,4.23,0.9,1.7999999999999998,1.33,0.31,1.06,1.87,3.95,3.09,2.17,5,0,Poor
136,1.16,1.73,0.0,1.7999999999999998,0.68,0.9,1.31,0.87,7.44,3.2,8.7,6,0,Average
137,2.07,2.07,0.48,1.7000000000000002,0.95,0.07,0.32,1.6,4.81,2.02,2.03,5,0,Poor
138,1.16,1.73,0.0,1.7999999999999998,0.68,0.9,1.31,0.87,7.44,3.2,8.7,6,0,Average
139,3.55,3.93,3.31,1.7999999999999998,1.79,1.08,3.11,1.87,3.49,2.25,2.03,5,0,Poor
140,1.65,4.0,0.12,1.7999999999999998,1.3,0.69,2.03,1.41,6.36,1.69,2.9,5,0,Poor
141,3.14,2.73,1.57,1.5,3.77,0.31,1.89,1.87,3.02,3.26,1.88,5,0,Poor
142,2.56,2.73,0.6,2.6,1.08,0.38,0.55,1.69,5.43,2.02,3.19,6,0,Average
143,3.64,2.13,2.65,3.4000000000000004,1.33,0.35,0.85,2.0,6.28,2.19,3.62,6,0,Average
144,2.89,1.67,2.83,2.3000000000000003,1.13,0.14,0.12,1.68,4.73,1.74,3.33,6,0,Average
145,4.46,2.93,6.02,4.3,9.98,1.08,1.45,2.41,0.16,10.0,2.03,4,0,Poor
146,3.06,3.47,0.18,1.7999999999999998,1.43,0.83,2.14,1.52,4.88,1.8,3.04,5,0,Poor
147,3.06,3.47,0.18,1.7999999999999998,1.43,0.83,2.14,1.52,4.88,1.8,3.04,5,0,Poor
148,2.73,2.33,2.53,7.5,1.01,0.97,2.83,1.96,5.43,2.81,3.62,5,0,Poor
149,2.73,2.33,2.53,7.5,1.03,0.94,2.81,1.96,5.43,2.75,3.62,5,0,Poor
150,2.73,2.33,2.53,7.5,1.01,0.97,2.83,1.96,5.43,2.81,3.62,5,0,Poor
151,2.73,2.33,2.53,7.5,1.03,0.94,2.81,1.96,5.43,2.75,3.62,5,0,Poor
152,2.73,4.0,0.0,2.5,1.06,0.38,0.37,1.89,5.89,1.57,1.88,5,0,Poor
153,2.48,3.47,1.08,2.0,1.16,0.59,1.84,1.87,6.74,1.97,1.88,6,0,Average
154,3.14,5.8,0.18,2.1,1.35,0.21,0.32,1.69,3.72,1.91,2.32,5,0,Poor
155,3.14,4.0,0.12,1.1,1.05,0.28,0.32,1.81,3.49,4.83,1.74,4,0,Poor
156,3.31,3.0,0.24,1.7000000000000002,1.11,0.56,0.58,1.79,4.73,1.91,2.9,6,0,Average
157,2.98,3.47,1.57,10.3,1.01,1.22,2.65,2.14,5.04,1.52,2.03,5,0,Poor
158,2.89,3.4,1.57,10.1,1.01,1.18,2.65,2.12,5.04,1.52,2.03,5,0,Poor
159,3.31,3.67,2.89,1.7000000000000002,1.51,0.45,2.07,1.73,3.64,2.25,2.17,5,0,Poor
160,2.48,3.73,0.6,2.3000000000000003,1.26,0.59,2.19,1.64,4.81,1.69,3.19,5,0,Poor
161,2.89,3.13,0.18,1.5,1.05,0.56,0.83,1.64,5.04,1.46,1.45,4,0,Poor
162,2.48,3.67,0.42,2.3000000000000003,1.33,0.35,0.88,1.58,5.81,1.85,3.48,6,0,Average
163,3.06,4.17,1.45,1.7999999999999998,5.83,0.49,1.31,1.79,2.17,7.7,2.17,5,0,Poor
164,3.39,5.37,0.18,1.7999999999999998,0.81,0.1,0.05,1.95,4.96,0.62,1.59,4,0,Poor
165,3.47,2.27,1.02,2.1,1.06,0.17,0.28,1.95,4.42,2.19,1.74,6,0,Average
166,3.47,2.27,1.02,2.1,1.06,0.17,0.28,1.95,4.42,2.19,1.74,6,0,Average
167,2.98,3.6,0.3,2.0,0.98,0.8,0.83,1.73,5.43,1.97,5.07,6,0,Average
168,2.89,2.0,1.27,2.1,1.18,0.21,0.67,1.73,4.73,1.4,2.17,5,0,Poor
169,2.56,2.8,0.24,1.4000000000000001,1.26,0.62,0.99,1.68,4.88,3.15,2.17,5,0,Poor
170,2.89,2.0,1.27,2.1,1.18,0.21,0.67,1.73,4.73,1.4,2.17,5,0,Poor
171,3.06,2.93,2.53,2.6,1.3,0.24,0.74,1.95,6.67,2.19,3.62,6,0,Average
172,2.64,4.83,0.0,2.9,0.98,0.21,0.32,1.89,5.89,1.91,2.32,5,0,Poor
173,4.13,3.53,0.84,2.8000000000000003,0.96,0.31,0.83,1.89,3.64,2.08,2.17,5,0,Poor
174,4.13,3.53,0.84,2.8000000000000003,0.96,0.31,0.83,1.89,3.64,2.08,2.17,5,0,Poor
175,4.21,3.53,2.95,2.1,4.34,0.76,2.4,1.95,3.1,4.49,1.88,5,0,Poor
176,2.81,4.33,0.12,2.9,1.11,0.52,0.83,1.95,5.58,1.69,1.88,5,0,Poor
177,2.48,3.53,1.2,1.7999999999999998,1.13,0.35,1.36,1.93,6.36,2.02,1.88,5,0,Poor
178,2.4,3.6,1.27,2.0,1.16,0.24,1.29,1.91,6.2,2.02,1.88,6,0,Average
179,4.21,1.53,3.43,2.1,1.69,0.87,1.82,1.93,4.19,1.74,2.46,5,0,Poor
180,2.98,2.07,2.89,2.1,1.21,0.45,1.41,1.95,4.81,1.85,1.74,5,0,Poor
181,3.22,4.17,0.6,3.1,1.25,0.28,0.46,2.02,5.19,1.52,2.46,5,0,Poor
182,3.39,2.8,1.99,2.1,1.25,0.49,3.16,1.87,3.72,1.85,2.17,5,0,Poor
183,3.39,2.73,1.93,2.0,1.21,0.56,3.18,1.87,3.72,1.85,2.17,5,0,Poor
184,3.64,2.8,2.11,3.5,1.13,0.69,2.79,2.02,3.95,2.25,2.03,5,0,Poor
185,2.15,1.93,1.51,2.0,1.08,0.69,0.99,1.98,6.59,2.25,2.61,6,0,Average
186,2.48,3.67,0.72,4.9,1.5,0.52,2.76,1.89,4.34,2.19,2.17,5,0,Poor
187,3.14,3.13,1.27,2.5,1.03,0.21,0.51,1.79,4.34,1.85,2.46,5,0,Poor
188,3.14,3.13,1.27,2.5,1.03,0.21,0.51,1.79,4.34,1.85,2.46,5,0,Poor
189,3.31,3.4,1.99,2.1,1.08,0.8,2.63,1.87,4.11,1.8,2.03,5,0,Poor
190,2.89,3.33,1.81,2.8000000000000003,1.08,0.49,1.13,1.87,5.74,2.08,3.19,5,0,Poor
191,6.36,1.47,3.61,2.1,0.96,0.38,0.48,2.12,3.02,4.21,3.04,6,0,Average
192,1.32,5.03,0.48,0.8999999999999999,0.61,0.42,2.0,1.02,6.59,3.54,7.25,7,0,Average
193,2.56,6.73,0.36,2.3000000000000003,0.86,0.38,0.58,1.48,6.12,1.18,4.93,4,0,Poor
194,4.79,1.6,2.83,1.2,0.78,0.28,0.41,1.9,3.88,3.37,3.33,7,0,Average
195,4.13,1.93,2.89,2.3000000000000003,1.46,1.32,3.2,2.0,2.48,4.55,1.88,5,0,Poor
196,2.48,2.8,0.66,1.4000000000000001,1.1,0.52,0.99,1.61,4.96,3.2,2.17,5,0,Poor
197,2.64,2.27,2.11,1.5,1.31,0.52,0.76,1.73,4.81,1.85,1.74,5,0,Poor
198,2.64,2.33,2.17,1.5,1.33,0.45,0.71,1.74,4.81,1.91,1.74,6,0,Average
199,7.44,1.47,4.46,3.1,1.43,0.28,0.51,2.37,3.72,3.09,4.06,7,0,Average
200,7.44,1.47,4.46,3.1,1.43,0.28,0.51,2.37,3.72,3.09,4.06,7,0,Average
201,3.31,3.27,1.87,1.7999999999999998,1.0,0.87,2.63,1.76,4.42,1.74,1.88,5,0,Poor
202,3.31,2.4,1.69,3.2,1.51,0.59,2.05,1.83,3.88,2.53,2.03,5,0,Poor
203,5.95,1.47,3.49,2.3000000000000003,0.75,0.21,0.3,2.1,4.57,3.71,3.62,7,0,Average
204,4.88,3.0,3.61,2.1,0.5,0.14,0.3,1.68,4.5,3.6,6.38,6,0,Average
205,3.47,4.3,1.45,3.4000000000000004,1.23,0.31,1.29,1.88,4.88,1.91,2.9,6,0,Average
206,6.45,2.4,3.86,2.3000000000000003,0.83,0.14,0.21,2.1,3.8,2.53,3.19,6,0,Average
207,3.64,3.27,1.57,2.5,0.85,0.94,1.36,1.69,4.5,1.18,3.04,5,0,Poor
208,3.31,4.37,0.48,2.8000000000000003,1.38,0.31,0.81,1.98,4.03,2.75,2.61,6,0,Average
209,2.64,2.73,2.95,7.7,0.85,0.87,2.65,1.98,4.81,3.03,3.62,5,0,Poor
210,4.05,3.63,0.96,2.1,1.53,0.42,0.99,1.75,3.26,1.97,4.35,5,0,Poor
211,3.55,4.3,1.33,2.5,1.05,0.35,0.81,1.85,4.96,1.85,1.59,5,0,Poor
212,3.06,2.73,1.14,2.0,1.11,0.31,0.88,1.66,5.19,1.8,2.46,5,0,Poor
213,3.31,3.0,1.99,2.8000000000000003,1.18,0.8,3.18,1.82,4.5,2.13,2.17,5,0,Poor
214,3.31,1.73,2.23,2.1,1.21,0.8,1.2,1.79,4.81,2.08,2.03,6,0,Average
215,2.98,3.0,1.57,2.1,1.53,0.52,1.52,1.66,3.33,1.97,2.03,5,0,Poor
216,2.48,3.53,0.24,1.4000000000000001,0.8,0.14,0.09,1.57,5.43,2.13,2.17,5,0,Poor
217,3.97,3.77,1.51,2.1,1.23,0.24,0.51,2.13,4.34,2.13,2.9,6,0,Average
218,3.8,3.7,2.17,2.1,1.33,0.49,1.13,1.99,4.57,1.97,3.48,4,0,Poor
219,3.22,2.33,1.51,3.1,1.06,0.97,1.31,1.74,5.04,2.02,3.62,6,0,Average
220,4.21,3.4,3.01,2.1,5.45,0.9,1.73,1.79,2.48,7.81,2.17,6,0,Average
221,4.3,4.93,0.84,3.1,1.33,0.28,0.39,2.18,5.19,2.3,2.61,5,0,Poor
222,3.22,2.33,1.51,3.1,1.06,0.97,1.31,1.74,5.04,2.02,3.62,6,0,Average
223,2.56,2.93,1.51,3.1,1.2,0.31,0.71,1.88,5.74,1.57,4.35,5,0,Poor
224,1.16,2.67,0.24,1.5,0.75,0.62,2.3,1.08,6.36,2.25,6.09,7,0,Average
225,3.47,2.0,0.36,1.7999999999999998,1.15,0.38,0.99,1.76,5.04,1.69,2.75,6,0,Average
226,3.88,1.93,1.2,3.4000000000000004,1.35,0.59,1.2,2.1,4.81,2.7,2.32,6,0,Average
227,2.56,2.93,1.51,3.1,1.2,0.31,0.71,1.88,5.74,1.57,4.35,5,0,Poor
228,3.64,6.13,0.54,2.6,0.93,0.21,0.71,1.88,4.65,1.85,1.45,6,0,Average
229,2.81,3.67,0.0,2.0,1.46,0.45,0.74,1.86,5.04,2.02,1.45,6,0,Average
230,2.81,3.67,0.0,2.0,1.46,0.45,0.74,1.86,5.04,2.02,1.45,6,0,Average
231,2.81,3.77,0.0,2.0,1.46,0.49,0.76,1.86,5.04,2.02,1.74,6,0,Average
232,2.81,3.67,0.0,2.0,1.46,0.45,0.74,1.86,5.04,2.02,1.45,6,0,Average
233,3.64,6.13,0.54,2.6,0.93,0.21,0.71,1.88,4.65,1.85,1.45,6,0,Average
234,4.21,3.7,2.23,1.7000000000000002,4.22,0.14,1.29,1.93,2.17,4.89,1.88,5,0,Poor
235,6.78,2.0,3.37,2.3000000000000003,1.4,0.17,0.41,2.34,3.26,2.75,4.2,6,0,Average
236,3.22,3.33,0.6,1.7999999999999998,1.54,0.94,2.37,1.65,2.79,1.52,2.61,6,0,Average
237,9.26,0.87,2.65,2.5,1.1,0.31,0.41,2.49,2.71,3.48,1.74,7,0,Average
238,9.26,0.87,2.65,2.5,1.1,0.31,0.41,2.49,2.71,3.48,1.74,7,0,Average
239,2.89,3.87,0.0,2.1,1.25,0.17,0.39,2.16,6.9,4.16,2.75,6,0,Average
240,2.73,4.0,0.42,2.0,1.1,0.52,1.04,1.88,5.12,1.69,2.17,5,0,Poor
241,3.64,3.47,1.02,2.6,1.05,0.35,1.54,1.77,3.72,1.29,1.88,5,0,Poor
242,3.22,3.0,0.36,1.7000000000000002,1.08,0.28,0.76,1.74,4.88,1.46,2.61,6,0,Average
243,2.89,3.87,0.0,2.1,1.25,0.17,0.39,2.16,6.9,4.16,2.75,6,0,Average
244,5.79,1.6,2.65,1.5,0.9,0.52,0.71,2.2,3.88,3.15,2.9,6,0,Average
245,2.73,3.47,0.0,1.7999999999999998,1.08,0.52,0.65,1.95,5.81,2.7,2.75,6,0,Average
246,6.03,1.8,2.89,3.8,1.35,0.14,0.35,2.22,3.49,1.74,3.62,5,0,Poor
247,3.22,4.63,2.53,2.0,1.38,0.24,1.84,1.69,3.95,2.08,2.17,5,0,Poor
248,2.73,3.47,0.0,1.7999999999999998,1.08,0.52,0.65,1.95,5.81,2.7,2.75,6,0,Average
